nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2022;Tahun;2236;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2022;Tahun;2100;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2022;Tahun;2631;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Bisnis;2022;Tahun;23537;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;81472;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;73987;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;91560;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;89675;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;126275;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;125943;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;139053;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;125316;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;120077;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;134498;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;126880;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;154842;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2022;Tahun;1389578;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;34042;Januari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;38322;Februari
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;54369;Maret
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;62769;April
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;54067;Mei
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;73375;Juni
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;12324;Juli
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;9161;Agustus
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;18114;September
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;60956;Oktober
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;80307;November
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;100426;Desember
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2021;Tahun;598232;<strong>TOTAL</strong>
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2021;Tahun;3095;Januari
